aX,aY,aZ,gX,gY,gZ
10.08, -0.42, 0.65, -0.09, 0.04, 0.01
10.18, -0.39, 0.83, -0.09, 0.04, 0.01
10.12, -0.36, 0.72, -0.10, 0.01, 0.02
10.04, -0.35, 0.61, -0.09, 0.04, 0.03
10.17, -0.34, 0.90, -0.09, 0.05, 0.03
10.17, -0.32, 0.92, -0.10, 0.01, 0.01
10.02, -0.29, 0.71, -0.38, 0.11, -0.01
10.13, -0.30, 0.91, -0.09, 0.05, -0.01
10.19, -0.25, 1.04, -0.10, 0.02, 0.02
10.07, -0.24, 0.82, -0.10, 0.02, 0.03
10.10, -0.26, 0.90, -0.09, 0.05, 0.03
10.19, -0.23, 1.06, -0.10, 0.03, 0.00
10.11, -0.25, 0.88, -0.10, 0.01, 0.00
10.06, -0.26, 0.80, -0.09, 0.04, 0.01
10.18, -0.26, 0.98, -0.10, 0.04, 0.01
10.12, -0.24, 0.82, -0.10, 0.01, 0.01
10.05, -0.30, 0.67, -0.09, 0.04, 0.02
10.18, -0.31, 0.85, -0.09, 0.04, 0.02
10.17, -0.31, 0.82, -0.10, 0.01, 0.03
10.05, -0.34, 0.60, -0.09, 0.03, -0.00
10.15, -0.38, 0.79, -0.09, 0.05, -0.01
10.17, -0.37, 0.88, -0.10, 0.02, -0.01
10.03, -0.37, 0.62, -0.10, 0.02, 0.03
10.10, -0.36, 0.79, -0.09, 0.05, 0.03
10.19, -0.35, 0.95, -0.10, 0.03, 0.02
10.09, -0.34, 0.75, -0.10, 0.01, 0.00
10.10, -0.34, 0.78, -0.09, 0.05, 0.00
10.23, -0.30, 1.02, -0.10, 0.04, 0.01
10.16, -0.27, 0.88, -0.10, 0.00, 0.02
10.06, -0.26, 0.75, -0.09, 0.04, 0.01
10.20, -0.24, 1.03, -0.09, 0.04, 0.01
10.16, -0.23, 0.95, -0.10, 0.00, 0.02
10.05, -0.25, 0.74, -0.09, 0.03, 0.03
10.18, -0.26, 0.95, -0.10, 0.05, -0.00
10.19, -0.25, 0.94, -0.10, 0.01, -0.01
10.05, -0.28, 0.70, -0.10, 0.01, -0.00
10.13, -0.36, 0.84, -0.09, 0.05, 0.02
10.22, -0.34, 0.95, -0.10, 0.02, 0.03
10.04, -0.34, 0.67, -0.10, 0.01, 0.03
10.10, -0.38, 0.76, -0.09, 0.05, -0.00
10.21, -0.36, 0.94, -0.09, 0.03, -0.01
10.09, -0.35, 0.76, -0.10, 0.00, 0.00
10.08, -0.37, 0.71, -0.09, 0.05, 0.02
10.21, -0.35, 0.96, -0.09, 0.04, 0.02
10.21, -0.33, 0.95, -0.10, 0.02, -0.01
10.03, -0.32, 0.67, -0.09, 0.04, 0.02
10.19, -0.32, 0.95, -0.09, 0.05, 0.02
10.16, -0.28, 0.85, -0.10, 0.01, 0.00
10.03, -0.29, 0.67, -0.09, 0.03, 0.00
10.15, -0.28, 0.90, -0.09, 0.05, -0.01
10.17, -0.26, 0.94, -0.10, 0.01, 0.02
20.03, -0.57, 1.42, -0.09, 0.02, 0.04
10.10, -0.29, 0.86, -0.09, 0.06, 0.03
10.21, -0.28, 1.01, -0.10, 0.03, 0.01
10.06, -0.28, 0.72, -0.10, 0.01, -0.01
10.08, -0.31, 0.73, -0.09, 0.05, -0.00
10.21, -0.33, 0.98, -0.10, 0.03, 0.00
10.08, -0.31, 0.73, -0.10, 0.01, 0.02
10.06, -0.34, 0.71, -0.09, 0.04, 0.02
10.22, -0.34, 0.94, -0.09, 0.04, 0.01
10.14, -0.32, 0.78, -0.10, 0.00, 0.02
10.06, -0.33, 0.67, -0.09, 0.04, 0.02
10.19, -0.34, 0.95, -0.09, 0.04, 0.00
10.16, -0.32, 0.86, -0.10, 0.01, -0.00
10.02, -0.34, 0.60, -0.10, 0.03, 0.01
10.20, -0.33, 0.88, -0.09, 0.05, 0.03
10.19, -0.30, 0.91, -0.10, 0.01, 0.03
10.03, -0.30, 0.68, -0.10, 0.02, 0.02
10.14, -0.31, 0.89, -0.09, 0.05, -0.01
10.20, -0.26, 0.97, -0.10, 0.02, -0.01
10.04, -0.26, 0.72, -0.10, 0.01, 0.01
10.11, -0.29, 0.82, -0.09, 0.05, 0.03
10.24, -0.27, -0.62, -0.07, -0.07, -0.07
10.07, -0.26, 0.72, -0.10, 0.01, 0.01
10.09, -0.31, 0.79, -0.09, 0.05, 0.00
20.41, -0.59, 2.04, -0.09, 0.04, 0.00
10.12, -0.28, 0.85, -0.10, 0.00, 0.01
10.07, -0.33, 0.74, -0.09, 0.04, 0.02
10.20, -0.32, 0.94, -0.09, 0.04, 0.01
10.17, -0.31, 0.85, -0.10, 0.01, 0.02
10.04, -0.33, 0.64, -0.09, 0.04, 0.03
10.18, -0.34, 0.91, -0.09, 0.05, 0.02
10.17, -0.31, 0.88, -0.10, 0.01, 0.00
10.01, -0.33, 0.65, -0.10, 0.03, -0.01
10.15, -0.35, 0.89, -0.09, 0.05, -0.01
10.19, -0.33, 0.92, -0.10, 0.01, 0.03
10.03, -0.31, 0.66, -0.10, 0.02, 0.04
10.12, -0.32, 0.81, -0.09, 0.05, 0.03
10.19, -0.30, 0.94, -0.10, 0.02, -0.00
10.02, -0.30, 0.67, -0.10, 0.01, -0.01
10.07, -0.32, 0.80, -0.09, 0.05, -0.01
10.19, -0.30, 0.99, -0.09, 0.03, 0.02
10.07, -0.30, 0.78, -0.10, 0.01, 0.03
10.08, -0.31, 0.78, -0.09, 0.05, 0.02
10.20, -0.28, 1.01, -0.10, 0.03, 0.00
10.08, -0.28, 0.76, -0.10, 0.00, 0.01
10.03, -0.30, 0.68, -0.09, 0.04, 0.01
10.18, -0.29, 0.94, -0.10, 0.04, 0.01
10.15, -0.28, 0.84, -0.10, 0.00, 0.01
10.06, -0.30, 0.68, -0.09, 0.04, 0.02
10.20, -0.31, 0.94, -0.09, 0.04, 0.02
10.17, -0.27, 0.89, -0.10, 0.01, 0.03
10.03, -0.29, 0.65, -0.10, 0.04, 0.01
10.20, -0.31, 0.92, -0.09, 0.05, -0.00
10.19, -0.30, 0.89, -0.10, 0.01, -0.01
10.03, -0.31, 0.65, -0.10, 0.03, 0.01
10.15, -0.32, 0.90, -0.09, 0.05, 0.02
10.19, -0.31, 0.99, -0.10, 0.02, 0.04
10.01, -0.32, 0.68, -0.10, 0.02, 0.02
10.12, -0.34, 0.90, -0.09, 0.06, -0.00
10.22, -0.33, 1.00, -0.10, 0.02, -0.01
10.04, -0.32, 0.68, -0.10, 0.01, 0.01
10.11, -0.34, 0.80, -0.09, 0.05, 0.02
10.20, -0.33, 0.95, -0.10, 0.02, 0.04
10.04, -0.30, 0.69, -0.10, 0.01, 0.03
10.07, -0.32, 0.77, -0.09, 0.05, 0.01
10.20, -0.30, 0.97, -0.10, 0.03, -0.01
10.08, -0.30, 0.76, -0.10, 0.01, 0.00
10.08, -0.30, 0.73, -0.09, 0.05, 0.02
10.20, -0.29, 0.98, -0.10, 0.03, 0.03
10.10, -0.28, 0.82, -0.10, 0.00, 0.02
10.05, -0.30, 0.70, -0.09, 0.04, 0.02
10.21, -0.30, 0.98, -0.09, 0.04, 0.01
10.15, -0.28, 0.86, -0.10, 0.01, 0.01
10.01, -0.29, 0.66, -0.09, 0.04, 0.01
10.19, -0.28, 0.97, -0.09, 0.04, 0.01
10.16, -0.27, 0.91, -0.10, 0.01, 0.01
10.00, -0.30, 0.65, -0.09, 0.03, 0.02
10.17, -0.30, 0.95, -0.10, 0.05, 0.02
10.17, -0.27, 0.91, -0.10, 0.01, 0.02
10.01, -0.30, 0.64, -0.09, 0.03, -0.00
10.10, -0.33, 0.80, -0.09, 0.05, 0.01
10.21, -0.34, 0.94, -0.10, 0.01, -0.01
10.03, -0.33, 0.63, -0.10, 0.02, 0.03
10.14, -0.34, 0.87, -0.09, 0.05, 0.04
10.20, -0.31, 0.95, -0.10, 0.02, 0.03
10.01, -0.32, 0.61, -0.10, 0.02, 0.01
10.13, -0.32, 0.85, -0.09, 0.05, -0.01
10.22, -0.28, 0.99, -0.10, 0.02, -0.01
10.03, -0.28, 0.65, -0.10, 0.01, 0.02
10.11, -0.31, 0.80, -0.09, 0.05, 0.03
10.21, -0.29, 0.98, -0.09, 0.03, 0.03
10.05, -0.28, 0.68, -0.09, 0.01, 0.02
10.10, -0.32, 0.78, -0.09, 0.05, 0.00
10.23, -0.30, 1.00, -0.10, 0.02, -0.01
10.08, -0.31, 0.75, -0.10, 0.00, 0.01
10.07, -0.35, 0.76, -0.09, 0.05, 0.02
10.22, -0.34, 1.00, -0.10, 0.03, 0.02
10.10, -0.31, 0.80, -0.10, 0.00, 0.02
10.04, -0.31, 0.74, -0.10, 0.05, 0.01
10.23, -0.32, 1.02, -0.10, 0.03, -0.00
10.14, -0.29, 0.82, -0.10, 0.00, 0.01
10.05, -0.32, 0.65, -0.09, 0.04, 0.01
10.21, -0.32, 0.98, -0.10, 0.04, 0.01
10.13, -0.29, 0.83, -0.10, 0.00, 0.01
10.04, -0.30, 0.66, -0.09, 0.04, 0.02
10.19, -0.31, 0.95, -0.09, 0.04, 0.02
10.16, -0.30, 0.85, -0.10, 0.00, 0.02
10.02, -0.33, 0.68, -0.09, 0.04, 0.01
10.20, -0.31, 0.99, -0.09, 0.05, -0.01
10.19, -0.29, 0.96, -0.10, 0.01, -0.00
10.04, -0.30, 0.68, -0.09, 0.04, 0.02
10.18, -0.31, 0.96, -0.09, 0.05, 0.03
10.19, -0.29, 0.94, -0.10, 0.01, 0.03
10.02, -0.30, 0.65, -0.10, 0.03, 0.01
10.18, -0.33, 0.95, -0.10, 0.05, -0.01
10.20, -0.30, 0.95, -0.10, 0.01, -0.02
10.02, -0.30, 0.68, -0.09, 0.03, 0.01
10.14, -0.32, 0.89, -0.09, 0.05, 0.01
10.18, -0.29, 0.97, -0.10, 0.02, 0.04
10.00, -0.32, 0.61, -0.09, 0.02, 0.03
10.15, -0.33, 0.87, -0.09, 0.05, 0.00
10.22, -0.30, 0.96, -0.10, 0.02, -0.01
10.02, -0.32, 0.66, -0.10, 0.02, 0.00
10.10, -0.32, 0.86, -0.09, 0.06, 0.02
10.18, -0.28, 0.96, -0.10, 0.02, 0.04
10.01, -0.31, 0.66, -0.10, 0.01, 0.04
10.13, -0.33, 0.81, -0.09, 0.05, 0.02
10.24, -0.31, 0.96, -0.10, 0.02, -0.01
10.04, -0.28, 0.66, -0.10, 0.01, -0.01
10.09, -0.30, 0.82, -0.09, 0.05, 0.00
10.19, -0.28, 0.99, -0.10, 0.02, 0.03
10.07, -0.28, 0.69, -0.10, 0.01, 0.04
10.12, -0.32, 0.78, -0.09, 0.05, 0.02
10.20, -0.29, 0.98, -0.10, 0.02, -0.01
10.06, -0.29, 0.71, -0.10, 0.00, -0.00
10.09, -0.34, 0.76, -0.09, 0.05, -0.00
10.20, -0.31, 0.99, -0.10, 0.03, 0.02
10.06, -0.31, 0.77, -0.10, 0.00, 0.03
10.11, -0.34, 0.78, -0.09, 0.05, 0.02
10.21, -0.33, 0.96, -0.10, 0.03, 0.01
10.08, -0.31, 0.77, -0.10, 0.00, 0.01
10.09, -0.33, 0.76, -0.09, 0.05, -0.00
10.23, -0.34, 1.00, -0.09, 0.03, 0.01
10.11, -0.32, 0.77, -0.10, 0.00, 0.02
10.06, -0.33, 0.72, -0.09, 0.05, 0.03
10.20, -0.31, 0.98, -0.10, 0.04, 0.02
10.10, -0.29, 0.81, -0.10, 0.00, 0.01
10.07, -0.31, 0.73, -0.09, 0.05, 0.00
10.22, -0.30, 1.02, -0.10, 0.04, 0.01
10.14, -0.26, 0.85, -0.10, 0.00, 0.01
10.05, -0.30, 0.71, -0.09, 0.05, 0.02
10.19, -0.30, 0.98, -0.09, 0.04, 0.01
10.15, -0.28, 0.88, -0.10, 0.00, 0.02
10.06, -0.31, 0.74, -0.09, 0.05, 0.01
10.20, -0.32, 0.98, -0.10, 0.04, 0.01
10.12, -0.30, 0.83, -0.10, 0.00, 0.01
10.04, -0.33, 0.71, -0.09, 0.04, 0.01
10.20, -0.32, 0.97, -0.09, 0.04, -0.00
10.13, -0.29, 0.84, -0.10, 0.00, 0.01
10.02, -0.30, 0.64, -0.09, 0.04, 0.02
10.19, -0.32, 0.94, -0.09, 0.04, 0.02
10.13, -0.30, 0.83, -0.10, -0.00, 0.01
10.02, -0.31, 0.64, -0.09, 0.04, 0.01
10.19, -0.31, 0.96, -0.09, 0.05, -0.00
10.15, -0.28, 0.86, -0.10, 0.00, 0.01
10.01, -0.31, 0.65, -0.09, 0.04, 0.02
10.20, -0.32, 0.99, -0.09, 0.05, 0.02
10.15, -0.29, 0.89, -0.10, 0.00, 0.02
10.01, -0.32, 0.65, -0.10, 0.03, 0.02
10.21, -0.31, 1.00, -0.09, 0.04, 0.00
10.16, -0.30, 0.90, -0.10, 0.00, 0.00
10.00, -0.30, 0.62, -0.09, 0.03, 0.00
10.17, -0.32, 0.98, -0.09, 0.05, 0.01
10.14, -0.30, 0.90, -0.10, 0.00, 0.03
10.08, -0.32, 0.66, -0.09, 0.03, 0.04
10.28, -0.33, 0.96, -0.09, 0.05, 0.01
10.19, -0.29, 0.89, -0.10, 0.00, 0.00
10.00, -0.29, 0.62, -0.10, 0.03, -0.01
10.16, -0.31, 0.96, -0.10, 0.05, 0.00
10.17, -0.26, 0.91, -0.10, 0.00, 0.01
10.01, -0.30, 0.62, -0.09, 0.03, 0.03
10.21, -0.32, 0.96, -0.09, 0.05, 0.02
10.23, -0.31, 0.94, -0.10, 0.00, 0.02
10.01, -0.33, 0.61, -0.10, 0.03, 0.00
10.20, -0.34, 0.94, -0.09, 0.05, -0.00
10.18, -0.28, 0.91, -0.10, 0.00, 0.00
9.99, -0.29, 0.64, -0.09, 0.04, 0.03
10.20, -0.31, 0.98, -0.09, 0.05, 0.03
10.21, -0.28, 0.97, -0.10, 0.01, 0.03
10.01, -0.30, 0.64, -0.09, 0.04, 0.01
10.18, -0.32, 0.97, -0.09, 0.05, -0.01
10.18, -0.29, 0.94, -0.10, 0.01, -0.01
10.01, -0.30, 0.60, -0.10, 0.03, 0.01
10.18, -0.31, 0.96, -0.09, 0.05, 0.01
10.20, -0.27, 0.95, -0.10, 0.01, 0.03
10.00, -0.30, 0.63, -0.10, 0.03, 0.02
10.18, -0.32, 0.98, -0.09, 0.05, 0.01
10.18, -0.31, 0.91, -0.10, 0.01, -0.00
10.00, -0.32, 0.62, -0.10, 0.03, 0.00
10.19, -0.33, 0.93, -0.09, 0.05, 0.00
10.17, -0.30, 0.89, -0.10, 0.00, 0.02
10.00, -0.31, 0.61, -0.09, 0.03, 0.03
10.19, -0.32, 0.93, -0.09, 0.05, 0.03
10.16, -0.29, 0.87, -0.10, 0.00, 0.01
10.02, -0.33, 0.62, -0.10, 0.03, -0.00
10.20, -0.31, 0.91, -0.09, 0.05, -0.01
10.16, -0.28, 0.89, -0.10, 0.00, 0.01
10.01, -0.29, 0.63, -0.09, 0.04, 0.02
10.18, -0.33, 0.94, -0.09, 0.05, 0.03
10.17, -0.28, 0.90, -0.10, 0.00, 0.02
