aX,aY,aZ,gX,gY,gZ
10.31, -0.27, 1.08, -0.09, 0.15, -0.02
9.60, -0.29, 0.09, -0.11, -0.42, 0.07
8.79, -0.34, -1.07, -0.09, 0.02, 0.06
10.28, -0.43, 0.96, -0.08, 0.44, 0.01
10.27, -0.34, 0.90, -0.08, 0.33, -0.02
10.51, -0.29, 1.63, -0.08, 0.24, -0.04
10.48, -0.23, 1.61, -0.09, 0.08, -0.05
10.36, -0.23, 1.32, -0.10, -0.07, -0.02
10.77, -0.18, 1.87, -0.10, -0.26, 0.02
10.07, -0.38, 0.70, -0.11, -0.46, 0.09
8.62, -0.31, -1.17, -0.10, -0.15, 0.07
9.45, -0.37, -0.17, -0.08, 0.37, 0.02
10.44, -0.37, 1.38, -0.08, 0.36, -0.01
10.49, -0.24, 1.58, -0.08, 0.31, -0.04
10.29, -0.28, 1.15, -0.09, 0.15, -0.04
10.32, -0.25, 1.27, -0.09, -0.05, -0.02
10.69, -0.20, 1.80, -0.10, -0.20, 0.02
10.53, -0.29, 1.36, -0.11, -0.46, 0.09
8.89, -0.36, -0.88, -0.11, -0.31, 0.08
8.88, -0.50, -0.98, -0.08, 0.25, 0.05
10.67, -0.29, 1.68, -0.08, 0.43, -0.02
10.29, -0.41, 0.94, -0.08, 0.35, -0.04
10.33, -0.31, 1.13, -0.09, 0.17, -0.05
10.44, -0.26, 1.45, -0.09, -0.00, -0.02
10.53, -0.22, 1.58, -0.10, -0.13, 0.01
10.83, -0.26, 1.85, -0.11, -0.39, 0.06
9.29, -0.27, -0.30, -0.11, -0.44, 0.08
8.59, -0.30, -1.32, -0.09, 0.08, 0.04
10.19, -0.43, 0.85, -0.07, 0.49, -0.01
10.24, -0.34, 0.85, -0.08, 0.35, -0.03
10.52, -0.29, 1.71, -0.08, 0.23, -0.04
10.50, -0.21, 1.71, -0.09, 0.07, -0.02
10.40, -0.24, 1.38, -0.10, -0.08, 0.01
10.89, -0.22, 2.02, -0.10, -0.30, 0.05
9.92, -0.28, 0.51, -0.12, -0.49, 0.08
8.51, -0.27, -1.31, -0.10, -0.11, 0.06
